linh_vuc,dataset_name,type_file,link
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/cd80e3d9-5d0b-44ed-9cee-ea102b3ece79/download/s-gdt-h-chi-minh_thcs.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/d8594db0-dc6b-4dc7-9a99-0fd1c18b5b7e/download/s-gdt-h-chi-minh_thpt.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/7e0b86a1-2c50-4702-a7c6-514fe87e6ef1/download/s-gdt-ha-ni_gdtx.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/e4168a92-3011-4737-83eb-9e8ed011cc6c/download/s-gdt-ha-ni_mn.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/319b1bb2-c567-4b73-9582-9fc3008f805c/download/s-gdt-ha-ni_thcs.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/61505e4c-a23e-40c7-a8f5-14242617f762/download/s-gdt-ha-ni_thpt.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/78e62d95-8d20-48d8-b4ff-ec4366556f8b/download/th.xlsx
Giáo dục,"Thông báo công khai thông tin về các hoạt động nghiên cứu khoa học, chuyển giao công nghệ, sản xuất thử và tư vấn của trường đại học hồng đức năm 2021-2022",PDF,https://opendata.thanhhoa.gov.vn/dataset/0529d57d-2333-4b74-b183-7e5fc6d5b061/resource/c0447af2-8635-4954-a944-7fbab2642125/download/thong-bao-cong-khai-thong-tin-ve-cac-hoat-dong-nghien-cuu-khoa-hoc-cua-truong-dh-hong-duc-nam-20.pdf
Giáo dục,Danh sách trường trung học phổ thông tỉnh Long An năm học 2019-2020,XLSX,https://opendata.thanhhoa.gov.vn/dataset/9f64f289-fc39-4875-adb6-f0f2277d8f1e/resource/6c376f41-c58f-42d8-8ddb-a7e2d26fd1b6/download/s-gdt-long-an_thpt.xlsx
Giáo dục,Thống kê đội ngũ giảng viên năm học 2022-2023,PDF,https://opendata.thanhhoa.gov.vn/dataset/341b081e-e962-4f0b-90fc-c886df119e64/resource/2ea9e246-d256-4de8-974e-96de39ff89c3/download/thng-ke-i-ng-ging-vien-nm-hc-2022-2023.pdf
